gene	index
AL158166.1	1434
MKI67	1435
AC016816.1	1436
LINC01166	1437
UTF1	1438
MIR202HG	1439
AL592071.1	1440
AL360181.2	1441
AL731769.2	1442
AC069287.1	1443
ODF3	1444
CARS-AS1	1445
AC127526.5	1446
AC127526.2	1447
OR51E1	1448
AC100763.1	1449
AC023946.1	1450
AC107881.1	1451
RASSF10	1452
CALCB	1453
CALCA	1454
OTOG	1455
AC090099.1	1456
SAA2	1457
AC084117.1	1458
AC027544.2	1459
ANO3	1460
AL078612.2	1461
AC021723.2	1462
AC068385.1	1463
AC024475.3	1464
OR5B12	1465
MS4A2	1466
MS4A6A	1467
MS4A4A	1468
MS4A4E	1469
AP003721.3	1470
CD5	1471
PGA3	1472
SCGB2A1	1473
SCGB1D2	1474
SCGB2A2	1475
AP003306.2	1476
AP000769.6	1477
TSGA10IP	1478
AP001107.6	1479
TBC1D10C	1480
LINC02754	1481
AP003096.1	1482
AP003071.2	1483
AP007216.2	1484
SHANK2-AS1	1485
KRTAP5-8	1486
OR2AT4	1487
SLCO2B1	1488
RSF1-IT1	1489
AP000857.2	1490
DISC1FP1	1491
HEPHL1	1492
GRIA4	1493
RAB39A	1494
AP002433.2	1495
AP003973.4	1496
C11orf88	1497
IL18	1498
AP000462.1	1499
AP003392.1	1500
CRTAM	1501
ADAMTS8	1502
NTM	1503
SPATA19	1504
AC007406.3	1505
AC005842.1	1506
CD27	1507
AC125494.1	1508
CD163	1509
KLRF1	1510
CLEC9A	1511
CLEC7A	1512
KLRC4	1513
KLRC3	1514
KLRC2	1515
KLRC1	1516
LINC02446	1517
STYK1	1518
LINC02366	1519
AC007619.1	1520
AC007535.1	1521
PDE6H	1522
AC007529.1	1523
PLCZ1	1524
IAPP	1525
LMNTD1	1526
ARNTL2-AS1	1527
AC087588.3	1528
AC008127.1	1529
AC004466.3	1530
FAM186A	1531
BIN2	1532
CELA1	1533
SCN8A	1534
KRT75	1535
TESPA1	1536
AC073896.4	1537
APOF	1538
AC078962.3	1539
AC025419.1	1540
AC107308.1	1541
AC025569.1	1542
LGR5	1543
LNCOG	1544
SYT1	1545
AC073569.1	1546
NTS	1547
TMCC3	1548
AC007298.2	1549
AC089985.1	1550
AC011595.1	1551
AC079385.1	1552
ASCL4	1553
LINC01498	1554
SELPLG	1555
AC087893.2	1556
AC007637.1	1557
CFAP73	1558
AC026765.3	1559
AC127164.1	1560
AC125616.1	1561
AC069234.3	1562
OASL	1563
AC069209.2	1564
AC048338.2	1565
AC005252.4	1566
AC007368.1	1567
AC073912.1	1568
ADGRD1-AS1	1569
AC148476.1	1570
GJB6	1571
AL136439.1	1572
FLT3	1573
CCNA1	1574
SIAH3	1575
LRRC63	1576
LINC02333	1577
EDNRB-AS1	1578
AL162493.1	1579
GPC5-AS2	1580
GPC6-AS2	1581
AL442067.2	1582
AL138689.2	1583
AL589743.4	1584
OR10G3	1585
GZMB	1586
AL136298.1	1587
AL445363.1	1588
AL121790.2	1589
CLEC14A	1590
AL162632.1	1591
AL139099.1	1592
AL355834.2	1593
SLC35F4	1594
AL161804.1	1595
CCDC175	1596
SIX6	1597
AL139022.1	1598
LINC02324	1599
AL357153.2	1600
AL357153.1	1601
AC004817.3	1602
AF111169.4	1603
AL356807.1	1604
AL096869.2	1605
ASB2	1606
AL157871.6	1607
DLK1	1608
AL133367.1	1609
JAG2	1610
IGHA2	1611
IGHG4	1612
IGHG2	1613
IGHA1	1614
IGHG1	1615
IGHG3	1616
IGHM	1617
AC100774.1	1618
GOLGA6L7	1619
AC107980.1	1620
AC102941.2	1621
LINC02249	1622
